Timestep 	a2a	 a2s	 a2k	 subl_zero_neighbors	 sfa	 sf2	 sfk	 other	 all
0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 
100 	 3 	 23 	 8 	 0 	 0 	 0 	 0 	 0 	 34 	 
200 	 10 	 62 	 22 	 0 	 0 	 0 	 0 	 0 	 94 	 
300 	 19 	 154 	 78 	 0 	 0 	 0 	 0 	 0 	 251 	 
400 	 23 	 236 	 136 	 0 	 0 	 0 	 0 	 0 	 395 	 
500 	 33 	 330 	 193 	 0 	 0 	 0 	 0 	 0 	 556 	 
600 	 43 	 501 	 276 	 0 	 0 	 0 	 0 	 0 	 820 	 
700 	 52 	 632 	 372 	 0 	 0 	 0 	 0 	 0 	 1056 	 
800 	 72 	 798 	 463 	 0 	 0 	 0 	 0 	 0 	 1333 	 
900 	 86 	 1033 	 578 	 0 	 0 	 0 	 0 	 0 	 1697 	 
1000 	 100 	 1256 	 713 	 0 	 0 	 0 	 0 	 0 	 2069 	 
1100 	 110 	 1526 	 857 	 0 	 0 	 0 	 0 	 0 	 2493 	 
1200 	 121 	 1830 	 988 	 0 	 0 	 0 	 0 	 0 	 2939 	 
1300 	 140 	 2152 	 1136 	 0 	 0 	 0 	 0 	 0 	 3428 	 
1400 	 157 	 2472 	 1302 	 0 	 0 	 0 	 0 	 0 	 3931 	 
1500 	 171 	 2811 	 1497 	 0 	 0 	 0 	 0 	 0 	 4479 	 
1600 	 186 	 3151 	 1669 	 0 	 0 	 0 	 0 	 0 	 5006 	 
1700 	 204 	 3488 	 1865 	 0 	 0 	 0 	 0 	 0 	 5557 	 
1800 	 225 	 3828 	 2078 	 0 	 0 	 0 	 0 	 0 	 6131 	 
1900 	 246 	 4245 	 2312 	 0 	 0 	 0 	 0 	 0 	 6803 	 
2000 	 277 	 4668 	 2545 	 0 	 0 	 0 	 0 	 0 	 7490 	 
2100 	 302 	 5100 	 2802 	 0 	 0 	 0 	 0 	 0 	 8204 	 
2200 	 323 	 5570 	 3072 	 0 	 0 	 0 	 0 	 0 	 8965 	 
2300 	 338 	 6049 	 3312 	 0 	 0 	 0 	 0 	 0 	 9699 	 
2400 	 362 	 6506 	 3552 	 0 	 0 	 0 	 0 	 0 	 10420 	 
2500 	 388 	 7053 	 3820 	 0 	 0 	 0 	 0 	 0 	 11261 	 
2600 	 416 	 7544 	 4077 	 0 	 0 	 0 	 0 	 0 	 12037 	 
2700 	 428 	 8083 	 4363 	 0 	 0 	 0 	 0 	 0 	 12874 	 
2800 	 461 	 8644 	 4670 	 0 	 0 	 0 	 0 	 0 	 13775 	 
2900 	 488 	 9162 	 4954 	 0 	 0 	 0 	 0 	 0 	 14604 	 
3000 	 511 	 9739 	 5283 	 0 	 0 	 0 	 0 	 0 	 15533 	 
3100 	 541 	 10355 	 5619 	 0 	 0 	 0 	 0 	 0 	 16515 	 
3200 	 567 	 10972 	 5957 	 0 	 0 	 0 	 0 	 0 	 17496 	 
3300 	 600 	 11574 	 6281 	 0 	 0 	 0 	 0 	 0 	 18455 	 
3400 	 630 	 12229 	 6634 	 0 	 0 	 0 	 0 	 0 	 19493 	 
3500 	 673 	 12905 	 6996 	 0 	 0 	 0 	 0 	 0 	 20574 	 
3600 	 710 	 13573 	 7322 	 0 	 0 	 0 	 0 	 0 	 21605 	 
3700 	 748 	 14285 	 7720 	 0 	 0 	 0 	 0 	 0 	 22753 	 
3800 	 778 	 15004 	 8044 	 0 	 0 	 0 	 0 	 0 	 23826 	 
3900 	 812 	 15722 	 8418 	 0 	 0 	 0 	 0 	 0 	 24952 	 
4000 	 848 	 16494 	 8816 	 0 	 0 	 0 	 0 	 0 	 26158 	 
4100 	 895 	 17247 	 9199 	 0 	 0 	 0 	 0 	 0 	 27341 	 
4200 	 930 	 17976 	 9597 	 0 	 0 	 0 	 0 	 0 	 28503 	 
4300 	 960 	 18759 	 10022 	 0 	 0 	 0 	 0 	 0 	 29741 	 
4400 	 992 	 19512 	 10408 	 0 	 0 	 0 	 0 	 0 	 30912 	 
4500 	 1031 	 20372 	 10823 	 0 	 0 	 0 	 0 	 0 	 32226 	 
4600 	 1066 	 21168 	 11230 	 0 	 0 	 0 	 0 	 0 	 33464 	 
4700 	 1113 	 21977 	 11671 	 0 	 0 	 0 	 0 	 0 	 34761 	 
4800 	 1148 	 22828 	 12084 	 0 	 0 	 0 	 0 	 0 	 36060 	 
4900 	 1189 	 23666 	 12534 	 0 	 0 	 0 	 0 	 0 	 37389 	 
5000 	 1233 	 24582 	 13013 	 0 	 0 	 0 	 0 	 0 	 38828 	 
5100 	 1283 	 25475 	 13475 	 0 	 0 	 0 	 0 	 0 	 40233 	 
5200 	 1324 	 26340 	 13942 	 0 	 0 	 0 	 0 	 0 	 41606 	 
5300 	 1369 	 27243 	 14427 	 0 	 0 	 0 	 0 	 0 	 43039 	 
5400 	 1409 	 28191 	 14881 	 0 	 0 	 0 	 0 	 0 	 44481 	 
5500 	 1448 	 29135 	 15391 	 0 	 0 	 0 	 0 	 0 	 45974 	 
5600 	 1477 	 30062 	 15933 	 0 	 0 	 0 	 0 	 0 	 47472 	 
5700 	 1516 	 30980 	 16448 	 0 	 0 	 0 	 0 	 0 	 48944 	 
5800 	 1568 	 31953 	 16956 	 0 	 0 	 0 	 0 	 0 	 50477 	 
5900 	 1616 	 32955 	 17453 	 0 	 0 	 0 	 0 	 0 	 52024 	 
6000 	 1664 	 33951 	 17942 	 0 	 0 	 0 	 0 	 0 	 53557 	 
6100 	 1713 	 34954 	 18468 	 0 	 0 	 0 	 0 	 0 	 55135 	 
6200 	 1771 	 36003 	 18982 	 0 	 0 	 0 	 0 	 0 	 56756 	 
6300 	 1828 	 36991 	 19530 	 0 	 0 	 0 	 0 	 0 	 58349 	 
6400 	 1884 	 38083 	 20056 	 0 	 0 	 0 	 0 	 0 	 60023 	 
6500 	 1932 	 39153 	 20623 	 0 	 0 	 0 	 0 	 0 	 61708 	 
6600 	 1973 	 40275 	 21205 	 0 	 0 	 0 	 0 	 0 	 63453 	 
6700 	 2026 	 41347 	 21773 	 0 	 0 	 0 	 0 	 0 	 65146 	 
6800 	 2067 	 42458 	 22329 	 0 	 0 	 0 	 0 	 0 	 66854 	 
6900 	 2112 	 43595 	 22885 	 0 	 0 	 0 	 0 	 0 	 68592 	 
7000 	 2165 	 44716 	 23450 	 0 	 0 	 0 	 0 	 0 	 70331 	 
7100 	 2215 	 45774 	 23970 	 0 	 0 	 0 	 0 	 0 	 71959 	 
7200 	 2248 	 46916 	 24569 	 0 	 0 	 0 	 0 	 0 	 73733 	 
7300 	 2291 	 48039 	 25148 	 0 	 0 	 0 	 0 	 0 	 75478 	 
7400 	 2343 	 49111 	 25756 	 0 	 0 	 0 	 0 	 0 	 77210 	 
7500 	 2391 	 50216 	 26350 	 0 	 0 	 0 	 0 	 0 	 78957 	 
7600 	 2451 	 51360 	 26960 	 0 	 0 	 0 	 0 	 0 	 80771 	 
7700 	 2515 	 52478 	 27529 	 0 	 0 	 0 	 0 	 0 	 82522 	 
7800 	 2560 	 53586 	 28104 	 0 	 0 	 0 	 0 	 0 	 84250 	 
7900 	 2613 	 54715 	 28694 	 0 	 0 	 0 	 0 	 0 	 86022 	 
8000 	 2675 	 55856 	 29300 	 0 	 0 	 0 	 0 	 0 	 87831 	 
8100 	 2723 	 57016 	 29877 	 0 	 0 	 0 	 0 	 0 	 89616 	 
8200 	 2770 	 58158 	 30454 	 0 	 0 	 0 	 0 	 0 	 91382 	 
8300 	 2815 	 59325 	 31031 	 0 	 0 	 0 	 0 	 0 	 93171 	 
8400 	 2891 	 60482 	 31615 	 0 	 0 	 0 	 0 	 0 	 94988 	 
8500 	 2943 	 61664 	 32219 	 0 	 0 	 0 	 0 	 0 	 96826 	 
8600 	 3013 	 62819 	 32791 	 0 	 0 	 0 	 0 	 0 	 98623 	 
8700 	 3058 	 64055 	 33385 	 0 	 0 	 0 	 0 	 0 	 100498 	 
8800 	 3105 	 65203 	 33986 	 0 	 0 	 0 	 0 	 0 	 102294 	 
8900 	 3163 	 66343 	 34584 	 0 	 0 	 0 	 0 	 0 	 104090 	 
9000 	 3212 	 67511 	 35133 	 0 	 0 	 0 	 0 	 0 	 105856 	 
9100 	 3266 	 68706 	 35738 	 0 	 0 	 0 	 0 	 0 	 107710 	 
9200 	 3325 	 69898 	 36323 	 0 	 0 	 0 	 0 	 0 	 109546 	 
9300 	 3385 	 70986 	 36904 	 0 	 0 	 0 	 0 	 0 	 111275 	 
9400 	 3445 	 72097 	 37490 	 0 	 0 	 0 	 0 	 0 	 113032 	 
9500 	 3496 	 73241 	 38092 	 0 	 0 	 0 	 0 	 0 	 114829 	 
9600 	 3551 	 74432 	 38628 	 0 	 0 	 0 	 0 	 0 	 116611 	 
9700 	 3609 	 75538 	 39168 	 0 	 0 	 0 	 0 	 0 	 118315 	 
9800 	 3647 	 76739 	 39730 	 0 	 0 	 0 	 0 	 0 	 120116 	 
9900 	 3702 	 77826 	 40263 	 0 	 0 	 0 	 0 	 0 	 121791 	 
10000 	 3753 	 78980 	 40851 	 0 	 0 	 0 	 0 	 0 	 123584 	 
10100 	 3801 	 80097 	 41422 	 0 	 0 	 0 	 0 	 0 	 125320 	 
10200 	 3845 	 81127 	 41973 	 0 	 0 	 0 	 0 	 0 	 126945 	 
10300 	 3900 	 82229 	 42542 	 0 	 0 	 0 	 0 	 0 	 128671 	 
10400 	 3946 	 83303 	 43080 	 0 	 0 	 0 	 0 	 0 	 130329 	 
10500 	 4004 	 84447 	 43624 	 0 	 0 	 0 	 0 	 0 	 132075 	 
10600 	 4044 	 85560 	 44149 	 0 	 0 	 0 	 0 	 0 	 133753 	 
10700 	 4093 	 86596 	 44666 	 0 	 0 	 0 	 0 	 0 	 135355 	 
10800 	 4147 	 87668 	 45224 	 0 	 0 	 0 	 0 	 0 	 137039 	 
10900 	 4188 	 88728 	 45730 	 0 	 0 	 0 	 0 	 0 	 138646 	 
11000 	 4216 	 89819 	 46243 	 0 	 0 	 0 	 0 	 0 	 140278 	 
11100 	 4275 	 90868 	 46747 	 0 	 0 	 0 	 0 	 0 	 141890 	 
11200 	 4321 	 91876 	 47247 	 0 	 0 	 0 	 0 	 0 	 143444 	 
11300 	 4372 	 92891 	 47685 	 0 	 0 	 0 	 0 	 0 	 144948 	 
11400 	 4410 	 93878 	 48193 	 0 	 0 	 0 	 0 	 0 	 146481 	 
11500 	 4449 	 94836 	 48659 	 0 	 0 	 0 	 0 	 0 	 147944 	 
11600 	 4512 	 95846 	 49142 	 0 	 0 	 0 	 0 	 0 	 149500 	 
11700 	 4551 	 96773 	 49606 	 0 	 0 	 0 	 0 	 0 	 150930 	 
11800 	 4590 	 97705 	 50070 	 0 	 0 	 0 	 0 	 0 	 152365 	 
11900 	 4636 	 98674 	 50515 	 0 	 0 	 0 	 0 	 0 	 153825 	 
12000 	 4684 	 99570 	 50959 	 0 	 0 	 0 	 0 	 0 	 155213 	 
12100 	 4722 	 100427 	 51425 	 0 	 0 	 0 	 0 	 0 	 156574 	 
12200 	 4768 	 101427 	 51861 	 0 	 0 	 0 	 0 	 0 	 158056 	 
12300 	 4805 	 102338 	 52269 	 0 	 0 	 0 	 0 	 0 	 159412 	 
12400 	 4841 	 103185 	 52671 	 0 	 0 	 0 	 0 	 0 	 160697 	 
12500 	 4874 	 104022 	 53099 	 0 	 0 	 0 	 0 	 0 	 161995 	 
12600 	 4913 	 104898 	 53484 	 0 	 0 	 0 	 0 	 0 	 163295 	 
12700 	 4944 	 105678 	 53920 	 0 	 0 	 0 	 0 	 0 	 164542 	 
12800 	 4987 	 106455 	 54310 	 0 	 0 	 0 	 0 	 0 	 165752 	 
12900 	 5032 	 107217 	 54717 	 0 	 0 	 0 	 0 	 0 	 166966 	 
13000 	 5059 	 107977 	 55082 	 0 	 0 	 0 	 0 	 0 	 168118 	 
13100 	 5089 	 108723 	 55435 	 0 	 0 	 0 	 0 	 0 	 169247 	 
13200 	 5123 	 109474 	 55778 	 0 	 0 	 0 	 0 	 0 	 170375 	 
13300 	 5153 	 110184 	 56140 	 0 	 0 	 0 	 0 	 0 	 171477 	 
13400 	 5190 	 110817 	 56479 	 0 	 0 	 0 	 0 	 0 	 172486 	 
13500 	 5219 	 111532 	 56794 	 0 	 0 	 0 	 0 	 0 	 173545 	 
13600 	 5249 	 112241 	 57095 	 0 	 0 	 0 	 0 	 0 	 174585 	 
13700 	 5280 	 112893 	 57460 	 0 	 0 	 0 	 0 	 0 	 175633 	 
13800 	 5302 	 113547 	 57742 	 0 	 0 	 0 	 0 	 0 	 176591 	 
13900 	 5321 	 114229 	 58090 	 0 	 0 	 0 	 0 	 0 	 177640 	 
14000 	 5344 	 114866 	 58410 	 0 	 0 	 0 	 0 	 0 	 178620 	 
14100 	 5369 	 115492 	 58700 	 0 	 0 	 0 	 0 	 0 	 179561 	 
14200 	 5388 	 116061 	 59001 	 0 	 0 	 0 	 0 	 0 	 180450 	 
14300 	 5422 	 116590 	 59296 	 0 	 0 	 0 	 0 	 0 	 181308 	 
14400 	 5443 	 117103 	 59576 	 0 	 0 	 0 	 0 	 0 	 182122 	 
14500 	 5463 	 117647 	 59862 	 0 	 0 	 0 	 0 	 0 	 182972 	 
14600 	 5482 	 118164 	 60123 	 0 	 0 	 0 	 0 	 0 	 183769 	 
14700 	 5498 	 118670 	 60381 	 0 	 0 	 0 	 0 	 0 	 184549 	 
14800 	 5515 	 119200 	 60600 	 0 	 0 	 0 	 0 	 0 	 185315 	 
