Timestep 	 On terrace 	 At step  	 At kink
0 	 96 	 0 	 0 
100 	 113 	 8 	 1 
200 	 138 	 23 	 7 
300 	 206 	 39 	 20 
400 	 296 	 35 	 11 
500 	 343 	 65 	 19 
600 	 409 	 88 	 43 
700 	 551 	 81 	 40 
800 	 568 	 134 	 66 
900 	 650 	 160 	 87 
1000 	 755 	 193 	 88 
1100 	 858 	 247 	 84 
1200 	 978 	 279 	 92 
1300 	 1110 	 293 	 133 
1400 	 1199 	 347 	 164 
1500 	 1359 	 367 	 172 
1600 	 1464 	 411 	 182 
1700 	 1562 	 465 	 219 
1800 	 1681 	 493 	 254 
1900 	 1754 	 583 	 303 
2000 	 1893 	 637 	 329 
2100 	 2074 	 691 	 331 
2200 	 2176 	 793 	 372 
2300 	 2336 	 788 	 413 
2400 	 2401 	 867 	 455 
2500 	 2534 	 951 	 494 
2600 	 2709 	 987 	 531 
2700 	 2917 	 1006 	 540 
2800 	 3084 	 1111 	 559 
2900 	 3168 	 1231 	 600 
3000 	 3322 	 1346 	 630 
3100 	 3514 	 1381 	 673 
3200 	 3708 	 1430 	 718 
3300 	 3939 	 1431 	 766 
3400 	 4089 	 1522 	 812 
3500 	 4266 	 1661 	 864 
3600 	 4381 	 1742 	 884 
3700 	 4580 	 1877 	 917 
3800 	 4694 	 1994 	 992 
3900 	 4923 	 2046 	 1061 
4000 	 5138 	 2110 	 1134 
4100 	 5283 	 2266 	 1176 
4200 	 5532 	 2323 	 1240 
4300 	 5800 	 2369 	 1259 
4400 	 5987 	 2451 	 1319 
4500 	 6228 	 2516 	 1369 
4600 	 6427 	 2641 	 1417 
4700 	 6592 	 2767 	 1426 
4800 	 6778 	 2891 	 1516 
4900 	 6962 	 3000 	 1531 
5000 	 7242 	 3085 	 1592 
5100 	 7456 	 3234 	 1641 
5200 	 7694 	 3293 	 1761 
5300 	 7873 	 3426 	 1810 
5400 	 8049 	 3536 	 1890 
5500 	 8318 	 3618 	 1947 
5600 	 8516 	 3723 	 1999 
5700 	 8676 	 3849 	 2068 
5800 	 8859 	 3999 	 2115 
5900 	 9172 	 4077 	 2201 
6000 	 9462 	 4226 	 2266 
6100 	 9702 	 4403 	 2291 
6200 	 9887 	 4579 	 2372 
