Timestep 	 0 Neighbours 	 1 Neighbour  	 2 Neighbours  	 3 Neighbours  	 4 Neighbours 	 5 Neighbours 	 6 Neighbours 	 0 Fraction 	 1 Fraction  	 2 Fraction  	 3 Fraction  	 4 Fraction 	 5 Fraction 	 6 Fraction
0 	 0 	 0 	 0 	 8 	 24 	 24 	 8 	 0.0 	 0.0 	 0.0 	 0.125 	 0.375 	 0.375 	 0.125
100 	 0 	 0 	 6 	 10 	 31 	 32 	 19 	 0.0 	 0.0 	 0.061224489795918366 	 0.10204081632653061 	 0.3163265306122449 	 0.32653061224489793 	 0.19387755102040816
200 	 0 	 1 	 15 	 22 	 29 	 55 	 36 	 0.0 	 0.006329113924050633 	 0.0949367088607595 	 0.13924050632911392 	 0.18354430379746836 	 0.34810126582278483 	 0.22784810126582278
300 	 0 	 0 	 21 	 37 	 67 	 93 	 97 	 0.0 	 0.0 	 0.06666666666666667 	 0.11746031746031746 	 0.2126984126984127 	 0.29523809523809524 	 0.30793650793650795
400 	 0 	 2 	 17 	 59 	 79 	 155 	 147 	 0.0 	 0.004357298474945534 	 0.037037037037037035 	 0.12854030501089325 	 0.1721132897603486 	 0.33769063180827885 	 0.3202614379084967
500 	 0 	 3 	 27 	 50 	 133 	 195 	 212 	 0.0 	 0.004838709677419355 	 0.043548387096774194 	 0.08064516129032258 	 0.21451612903225806 	 0.31451612903225806 	 0.3419354838709677
600 	 0 	 2 	 46 	 93 	 154 	 275 	 314 	 0.0 	 0.0022624434389140274 	 0.05203619909502263 	 0.10520361990950226 	 0.17420814479638008 	 0.31108597285067874 	 0.3552036199095023
700 	 0 	 2 	 43 	 100 	 215 	 362 	 398 	 0.0 	 0.0017857142857142857 	 0.038392857142857145 	 0.08928571428571429 	 0.19196428571428573 	 0.32321428571428573 	 0.35535714285714287
800 	 0 	 5 	 55 	 138 	 247 	 437 	 515 	 0.0 	 0.0035790980672870437 	 0.03937007874015748 	 0.09878310665712241 	 0.17680744452397995 	 0.31281317108088763 	 0.3686471009305655
900 	 0 	 1 	 79 	 175 	 321 	 540 	 645 	 0.0 	 0.0005678591709256105 	 0.044860874503123226 	 0.09937535491198182 	 0.18228279386712096 	 0.30664395229982966 	 0.36626916524701875
1000 	 0 	 4 	 86 	 211 	 391 	 669 	 772 	 0.0 	 0.001875293014533521 	 0.0403187998124707 	 0.09892170651664323 	 0.18330989217065166 	 0.3136427566807314 	 0.36193155180496955
1100 	 0 	 3 	 114 	 219 	 474 	 828 	 919 	 0.0 	 0.0011732499022291747 	 0.044583496284708646 	 0.08564724286272976 	 0.18537348455220962 	 0.32381697301525225 	 0.35940555338287056
1200 	 0 	 4 	 127 	 278 	 562 	 966 	 1066 	 0.0 	 0.001332001332001332 	 0.04229104229104229 	 0.09257409257409258 	 0.18714618714618714 	 0.32167832167832167 	 0.354978354978355
1300 	 0 	 8 	 134 	 329 	 669 	 1151 	 1201 	 0.0 	 0.002290950744558992 	 0.03837342497136312 	 0.09421534936998854 	 0.19158075601374572 	 0.32961053837342497 	 0.34392898052691867
1400 	 0 	 5 	 165 	 364 	 785 	 1299 	 1377 	 0.0 	 0.0012515644555694619 	 0.04130162703379224 	 0.09111389236545682 	 0.1964956195244055 	 0.32515644555694617 	 0.3446808510638298
1500 	 0 	 5 	 169 	 403 	 900 	 1522 	 1544 	 0.0 	 0.001100594320933304 	 0.037200088047545675 	 0.0887079022672243 	 0.1981069777679947 	 0.3350209112920977 	 0.33986352630420424
1600 	 0 	 3 	 189 	 458 	 977 	 1735 	 1708 	 0.0 	 0.000591715976331361 	 0.03727810650887574 	 0.0903353057199211 	 0.19270216962524656 	 0.3422090729783038 	 0.3368836291913215
