Timestep	coord_1_mean_age	coord_2_mean_age	coord_3_mean_age	coord_4_mean_age	coord_5_mean_age	coord_6_mean_age
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
100	0.000000	24.000000	42.300000	70.774194	95.625000	100.000000
200	1.000000	15.333333	45.772727	106.793103	155.363636	192.861111
300	0.000000	15.238095	39.432432	67.059701	139.731183	248.752577
400	11.500000	17.411765	50.949153	109.822785	166.206452	303.707483
500	9.000000	24.259259	61.180000	115.345865	222.538462	345.764151
600	19.500000	30.260870	56.236559	124.961039	232.538182	385.146497
700	9.000000	41.046512	75.770000	147.148837	261.585635	441.673367
800	48.800000	36.200000	79.992754	172.396761	303.890160	482.097087
900	1.000000	38.886076	81.297143	184.327103	335.838889	521.646512
1000	14.500000	55.476744	100.085308	204.386189	366.159940	567.281088
1100	9.333333	53.359649	116.388128	227.607595	392.350242	608.352557
1200	28.000000	63.598425	127.787770	257.706406	433.659420	651.332083
1300	29.250000	64.649254	141.021277	284.532138	467.284970	701.736886
1400	80.000000	74.315152	163.021978	312.379618	510.981524	740.815541
1500	78.800000	86.739645	184.364764	336.782222	540.067674	785.590674
1600	18.000000	93.391534	201.879913	380.736950	577.588473	833.506440
1700	11.500000	108.919048	217.860041	414.113912	618.063753	876.573684
1800	20.000000	120.263598	244.348571	448.873191	660.744034	914.287671
1900	17.000000	121.515625	257.864322	475.788491	698.317737	946.989456
2000	8.000000	128.109589	272.821797	508.472242	737.970497	985.572522
2100	41.500000	144.446602	298.091781	531.609211	767.052999	1032.199788
2200	42.400000	157.980583	315.743276	551.901176	810.093558	1065.638674
2300	149.000000	160.284530	345.991870	586.180886	853.778148	1104.750813
2400	23.444444	180.114883	369.120430	623.613340	900.181042	1147.400821
2500	42.000000	184.416867	386.592556	654.315107	938.118649	1184.512115
2600	42.000000	192.714612	415.588889	686.362699	978.023031	1233.715439
2700	85.000000	214.636986	435.399482	711.411951	1017.171065	1278.570091
2800	76.250000	224.753653	460.537697	742.838127	1046.435072	1323.407757
2900	75.400000	244.271825	481.254406	791.283736	1082.094722	1370.356238
3000	50.000000	258.826772	503.246077	818.156863	1115.140519	1414.965273
3100	44.666667	263.450549	533.424742	840.577517	1153.037405	1453.990505
3200	87.700000	279.142361	561.577354	872.017717	1184.813864	1496.469972
3300	57.333333	292.242975	585.268703	908.828650	1225.158186	1539.258360
3400	66.285714	293.552711	616.756579	947.808894	1255.761820	1577.841116
3500	104.000000	312.505952	616.878142	985.409057	1293.169094	1616.510392
3600	93.400000	316.552239	655.710137	1017.801432	1337.637950	1657.622142
3700	64.789474	328.581152	684.964903	1037.784165	1372.933196	1695.804292
3800	90.000000	336.331689	694.743686	1090.225429	1411.640182	1741.347114
3900	56.750000	355.289286	726.417612	1111.466816	1454.460804	1782.631044
4000	42.941176	372.589120	736.372417	1157.497232	1481.725162	1823.501564
4100	75.869565	375.367347	778.723395	1178.627707	1525.770006	1863.335435
4200	86.931034	406.618221	800.918495	1212.650393	1563.998973	1907.687006
4300	129.000000	420.320207	822.430346	1245.833220	1599.754132	1949.073541
4400	104.619048	437.165510	861.983577	1281.106352	1640.426247	1992.922041
4500	97.400000	442.386406	888.589798	1310.506268	1676.039194	2034.121945
4600	132.363636	462.580970	899.912884	1356.498020	1713.037631	2078.743603
4700	148.454545	471.071616	928.336326	1392.670780	1749.197052	2122.767619
4800	148.750000	490.133668	957.961396	1428.244707	1787.043272	2165.868882
4900	131.541667	514.252675	979.833333	1458.985923	1828.317686	2207.124497
5000	152.769231	533.888532	1008.803100	1476.207731	1866.559561	2245.623991
5100	147.928571	551.638331	1038.252845	1515.857953	1896.435590	2287.773479
5200	160.956522	562.881057	1082.434913	1551.007194	1932.066685	2328.947799
5300	177.960000	577.797288	1106.328792	1588.311688	1971.608059	2365.775491
5400	184.576923	584.846572	1131.701639	1629.239899	2010.722502	2405.735068
5500	191.566667	608.384768	1160.093245	1659.903050	2046.707169	2444.863342
5600	242.458333	637.739816	1179.755477	1689.583029	2086.252863	2483.544986
5700	257.000000	654.955911	1214.919908	1727.681359	2122.654508	2523.017214
5800	226.388889	657.020808	1249.925253	1761.872435	2160.520609	2563.743578
5900	286.258065	675.860048	1267.288022	1793.370744	2204.847277	2603.287697
6000	284.400000	691.676488	1292.703301	1832.999238	2242.258079	2647.596331
6100	348.862069	704.844482	1320.990041	1869.049394	2276.373559	2692.445100
6200	278.184211	725.021242	1346.849094	1890.796610	2323.409395	2731.629778
6300	259.723404	741.057864	1379.909458	1929.927621	2360.514455	2772.911605
6400	319.536585	745.753018	1397.970196	1967.463078	2402.560958	2811.133996
6500	369.702703	773.918784	1411.876092	1994.918908	2445.417173	2851.796377
6600	370.230769	796.798039	1440.826796	2019.615702	2482.437578	2890.752378
6700	340.170213	814.770445	1472.795524	2054.140286	2516.586385	2935.798171
6800	330.717391	833.976798	1502.869666	2095.019569	2546.288685	2982.058282
6900	418.410256	846.464789	1525.768109	2132.722214	2580.211872	3027.849759
7000	391.418605	865.571996	1561.084671	2158.926220	2620.574786	3072.298676
7100	388.895833	873.913302	1598.418569	2200.706865	2662.324275	3121.361268
7200	506.325000	901.663149	1621.442331	2229.495340	2704.616335	3160.517890
7300	577.729730	909.472853	1661.714370	2265.720369	2741.137354	3206.033096
7400	509.697674	947.113054	1686.650647	2304.504030	2776.734814	3251.642971
7500	606.891892	967.238492	1720.745550	2342.077553	2814.281638	3297.144376
7600	521.613636	980.020424	1767.008382	2369.506861	2855.209710	3337.702523
7700	475.039216	1007.112590	1778.224454	2418.477082	2896.471592	3383.656015
7800	508.352941	1020.978998	1813.487369	2463.205345	2940.687749	3425.258624
7900	512.563636	1051.004404	1834.289206	2507.651558	2979.375168	3470.382444
8000	528.444444	1071.139099	1862.370431	2539.805514	3023.891349	3514.474945
8100	580.250000	1082.796563	1897.959723	2576.021335	3071.273615	3556.412797
8200	634.862745	1104.289293	1928.195602	2617.179414	3115.153524	3602.551245
8300	676.803922	1114.029010	1969.218229	2653.629019	3158.620951	3648.865221
8400	519.770492	1128.619929	2004.427117	2688.989395	3205.304054	3693.193989
8500	644.333333	1138.904491	2024.456765	2736.316492	3246.261783	3739.026953
8600	529.088235	1165.413192	2059.862912	2769.904759	3294.250869	3785.464709
8700	681.722222	1179.829023	2079.466915	2810.071382	3338.480369	3830.239950
8800	634.327869	1209.422996	2121.328656	2842.396950	3382.305616	3879.278915
8900	531.630137	1238.116845	2144.352581	2896.331000	3420.136561	3928.756989
9000	605.353846	1242.651063	2188.077700	2929.088084	3473.341212	3977.004062
9100	679.800000	1252.187238	2219.626100	2974.899772	3517.857343	4019.507864
9200	663.842105	1266.573968	2248.340159	3015.751134	3565.014741	4066.838087
9300	567.500000	1292.910541	2290.311212	3047.916300	3617.131590	4119.296193
9400	566.739726	1335.927337	2314.599438	3090.845732	3660.695606	4173.628683
9500	584.026316	1359.236248	2361.768913	3122.886528	3707.521379	4222.881966
9600	628.878378	1370.032083	2392.991216	3171.610814	3753.957801	4273.792837
9700	671.083333	1402.507807	2412.034814	3223.798462	3803.055396	4327.298790
9800	888.654545	1406.800099	2451.267402	3268.931903	3848.495215	4377.119920
9900	700.630137	1429.668785	2492.352004	3314.249261	3898.717995	4432.233660
10000	728.671233	1464.328394	2516.438648	3359.409389	3945.144044	4481.984324
10100	748.223684	1492.148522	2547.208026	3400.722238	3997.481796	4533.455217
10200	727.690476	1527.235140	2587.897788	3442.360681	4051.566078	4589.137593
10300	705.777778	1543.258782	2640.558318	3484.440625	4096.086962	4643.977653
10400	746.746988	1559.325115	2680.774397	3531.133142	4149.279311	4696.778547
10500	773.564706	1581.595508	2704.269485	3586.332285	4194.750138	4750.070499
10600	800.727273	1605.615264	2729.845636	3643.620183	4244.607078	4804.452999
10700	797.107527	1629.410714	2776.406152	3686.312118	4298.630695	4863.261243
10800	812.087912	1650.660459	2834.320517	3718.122873	4352.067664	4916.982204
10900	899.237500	1664.369205	2874.422937	3772.448098	4398.588865	4978.386192
11000	1068.565217	1691.985645	2894.290023	3828.636932	4448.522425	5036.788273
11100	1036.342466	1723.751935	2917.192997	3881.823398	4503.850967	5093.658258
11200	959.843373	1746.199013	2976.837357	3925.335183	4555.014759	5155.124693
11300	948.411765	1765.243183	3024.441501	3964.969143	4618.224763	5217.228398
11400	984.627907	1808.633777	3051.495424	4018.371588	4672.788023	5276.588194
11500	1048.554217	1847.815053	3090.038812	4067.592702	4728.576786	5340.432069
11600	946.854167	1858.812451	3147.546999	4114.234710	4781.428538	5400.627575
11700	1037.855556	1898.414457	3197.315357	4157.089162	4838.646768	5465.600497
11800	1011.500000	1942.584639	3233.354104	4209.396703	4894.592514	5530.447946
11900	1084.266667	1953.318871	3290.341401	4254.002285	4955.087603	5591.705338
12000	994.679612	1999.871903	3327.825941	4305.448955	5014.763098	5656.155897
12100	1104.145833	2048.294355	3376.354476	4351.143982	5073.769684	5721.387644
12200	1105.707071	2054.842857	3435.662267	4400.048215	5128.610323	5782.592577
12300	1067.962963	2094.725809	3465.888161	4460.296221	5187.466641	5848.720824
12400	1203.105263	2112.792964	3520.122297	4515.639552	5248.966286	5916.134866
12500	1189.319588	2164.745192	3555.197134	4566.589461	5311.569855	5983.558599
12600	1298.022222	2184.473148	3593.232929	4628.891268	5375.688842	6047.689668
12700	1338.955556	2241.924790	3632.589330	4688.296067	5433.412282	6116.208569
12800	1181.847619	2282.558423	3675.696956	4753.076065	5495.389135	6183.708933
12900	1173.431193	2316.088676	3728.597666	4805.970964	5560.963369	6251.040185
13000	1225.727273	2336.651068	3793.042103	4866.454687	5623.843053	6320.700665
13100	1285.783019	2361.666960	3851.561360	4922.439845	5691.729897	6390.647284
13200	1269.477477	2393.590917	3914.428854	4976.201393	5759.817602	6459.588523
13300	1320.180180	2430.590116	3973.875071	5030.952794	5826.714409	6530.724704
13400	1315.000000	2479.374742	4019.041378	5100.550773	5895.945016	6601.485334
13500	1381.455357	2505.157150	4066.596900	5165.649156	5966.288723	6672.244017
13600	1480.990476	2526.602627	4109.494242	5238.343871	6034.753604	6743.843780
13700	1403.426087	2580.941762	4164.902002	5293.136390	6102.398565	6815.100585
13800	1550.990741	2608.712255	4224.653386	5356.353968	6175.713885	6887.700129
13900	1598.859813	2637.792966	4277.417983	5417.876301	6244.339622	6957.291054
14000	1619.669811	2689.947656	4331.834810	5478.366333	6314.569726	7028.498769
14100	1663.866667	2725.549712	4392.080955	5539.281251	6384.609565	7105.308163
