Timestep	Site_on_terrace_mean_age	Site_at_step_mean_age	Site_at_kink_mean_age
0	1.000000	0.000000	0.000000
100	65.743363	23.375000	30.000000
200	86.695652	9.478261	16.142857
300	52.441748	16.076923	18.250000
400	81.064189	33.028571	22.727273
500	100.058309	27.523077	26.631579
600	74.044010	31.579545	31.139535
700	100.009074	39.679012	49.100000
800	104.209507	41.447761	45.333333
900	93.338462	47.112500	48.195402
1000	98.396026	50.036269	69.704545
1100	107.473193	51.708502	86.583333
1200	115.744376	65.483871	91.652174
1300	123.094595	74.972696	89.142857
1400	126.059216	81.060519	114.304878
1500	132.119941	88.485014	150.511628
1600	145.123634	92.437956	178.049451
1700	155.436620	106.200000	179.598174
1800	165.195122	118.302231	194.137795
1900	166.671038	119.970840	206.095710
2000	164.160063	133.211931	234.884498
2100	172.400193	153.590449	273.392749
2200	180.214614	164.253468	289.043011
2300	184.586045	189.050761	304.324455
2400	199.826739	200.993080	319.821978
2500	199.545777	212.059937	342.269231
2600	213.025102	231.521783	370.451977
2700	218.575249	252.033797	408.792593
2800	225.106680	258.878488	436.273703
2900	239.979167	274.301381	456.900000
3000	243.967188	286.890045	479.006349
3100	247.700626	311.708182	497.361070
3200	256.536138	336.718182	517.207521
3300	270.101041	369.336129	530.159269
3400	278.745415	376.919842	553.719212
3500	284.955931	383.311860	570.123843
3600	302.821958	403.996556	611.338235
3700	303.518777	408.259989	639.808070
3800	318.426715	423.620863	647.668347
3900	324.486086	448.295699	665.393968
4000	331.654924	469.798104	681.546737
4100	340.672535	474.900706	711.547619
4200	350.786334	502.113646	735.977419
4300	360.858621	529.634867	778.481334
4400	380.232838	553.389229	799.581501
4500	386.274406	575.228935	821.922571
4600	400.515170	588.904203	850.513056
4700	414.934921	601.502711	899.070126
4800	425.219239	621.154964	908.961741
4900	438.162310	638.242333	959.042456
5000	442.006352	662.397407	979.716709
5100	454.738466	677.937229	1014.414381
5200	471.816740	707.860310	1009.527541
5300	485.524070	722.829539	1045.596685
5400	497.515344	743.877262	1063.109524
5500	505.153042	768.199834	1091.363123
5600	517.855683	791.196347	1123.649825
5700	534.481789	811.468693	1147.596712
5800	544.130489	823.358340	1183.991962
5900	552.832316	852.583027	1202.115856
6000	563.877087	867.474681	1232.789056
6100	575.343847	876.991824	1282.464426
6200	585.609791	889.510810	1302.004637
6300	598.509658	915.833440	1314.891630
6400	614.047186	929.832541	1328.426293
6500	625.517199	947.396200	1355.608532
6600	634.092381	982.565209	1388.516642
6700	648.293218	999.336727	1426.063907
6800	658.923663	1027.416259	1458.325391
6900	672.787904	1047.329965	1505.492275
7000	689.111505	1060.070820	1522.450714
7100	708.551685	1087.838968	1533.360446
7200	721.576015	1111.617782	1571.236281
7300	731.872350	1150.478452	1590.495295
7400	747.835743	1170.990429	1627.567593
7500	762.972390	1201.671006	1655.539994
7600	775.268636	1218.543020	1698.318763
7700	793.370806	1233.937375	1733.395274
7800	812.468588	1256.153096	1752.984384
7900	827.484880	1278.630129	1780.516362
8000	842.655945	1292.502569	1813.563438
8100	861.042687	1299.761885	1855.812921
8200	878.293186	1320.007395	1876.780750
8300	891.464487	1357.831399	1909.053525
8400	906.809388	1375.487300	1908.435268
8500	922.019603	1394.095171	1936.445771
8600	937.684230	1411.597584	1953.529969
8700	951.611351	1432.962299	1978.436022
8800	967.293289	1460.376287	2040.172685
8900	985.671834	1492.458983	2050.740782
9000	1004.808288	1522.547375	2103.003798
9100	1024.884761	1546.611455	2123.381786
9200	1041.125289	1559.476554	2160.983161
9300	1057.648917	1594.543076	2206.638503
9400	1073.632827	1629.214325	2247.379806
9500	1093.852216	1632.954550	2300.588396
9600	1116.031156	1660.751468	2307.795139
9700	1134.914061	1679.911168	2360.133252
9800	1157.486092	1707.951390	2363.120961
9900	1180.132581	1733.827682	2373.506720
10000	1197.318692	1770.353104	2400.883041
10100	1216.451304	1794.899114	2441.169896
10200	1237.769021	1838.725092	2493.860504
10300	1258.943132	1859.032960	2532.826986
10400	1285.779597	1886.950211	2565.123669
10500	1308.147261	1898.349234	2594.914225
10600	1332.455537	1937.135206	2605.716664
10700	1356.063982	1967.613744	2668.294433
10800	1377.916914	1980.098905	2725.418833
10900	1403.114430	2021.268259	2740.796187
11000	1424.589027	2063.280403	2768.090138
11100	1445.853469	2101.451771	2801.185787
11200	1473.073639	2134.873101	2857.248366
11300	1501.587399	2166.280385	2899.185964
11400	1528.812910	2198.248519	2947.231201
11500	1556.415962	2233.885591	2984.169518
11600	1588.978933	2238.429898	3022.307463
11700	1616.525455	2282.199615	3058.146972
11800	1640.202057	2335.407597	3105.536357
11900	1666.487613	2384.073073	3123.984302
12000	1697.293782	2414.253103	3160.285906
12100	1726.204380	2441.288700	3227.226162
12200	1756.672571	2447.834211	3246.884638
12300	1786.125355	2493.257802	3311.008486
12400	1818.360107	2531.405939	3367.129333
12500	1844.241850	2564.481061	3426.722440
12600	1878.471096	2589.952374	3463.874892
12700	1911.061904	2631.394795	3507.065375
12800	1944.166204	2673.136166	3548.284060
12900	1975.070463	2711.558872	3603.444429
13000	2013.165493	2752.426195	3629.596618
13100	2042.660456	2800.408302	3668.679945
13200	2076.336516	2837.266336	3734.493426
13300	2117.667061	2872.553154	3793.842342
13400	2161.192488	2897.649210	3864.379277
13500	2201.342745	2928.405418	3903.925966
13600	2237.121646	2979.316186	3930.087925
13700	2272.040521	3011.749101	4004.871166
13800	2310.757065	3068.591584	4035.888933
13900	2345.194886	3108.404940	4054.607570
14000	2385.228880	3153.700228	4098.410187
14100	2421.168983	3212.756418	4119.662936
14200	2461.697463	3256.948829	4183.309548
14300	2504.553482	3296.932187	4265.806690
14400	2545.091906	3350.039697	4321.128987
14500	2585.250319	3393.161608	4382.155895
14600	2629.026006	3447.951936	4434.970363
14700	2674.255121	3491.176559	4498.380368
14800	2720.357661	3556.284422	4539.535271
14900	2767.358378	3603.023449	4602.741300
15000	2814.471986	3654.657206	4686.537899
15100	2856.448710	3706.213959	4738.489383
15200	2902.270680	3765.456152	4808.507336
15300	2951.130091	3814.194535	4866.920781
15400	2997.093708	3869.528444	4931.399535
15500	3049.573922	3920.091660	4980.280185
15600	3092.008250	3960.334827	5045.880617
15700	3138.931518	4006.472791	5097.762630
15800	3188.452887	4072.609359	5169.652179
15900	3240.478365	4127.230919	5231.174363
16000	3291.792415	4174.963535	5293.728439
16100	3330.275078	4225.910335	5358.394879
16200	3384.391395	4276.991266	5421.096016
16300	3437.632048	4329.963311	5473.303347
16400	3493.147072	4384.988657	5546.785155
16500	3549.558186	4442.805204	5622.367267
16600	3607.972700	4498.826354	5685.278900
16700	3658.823876	4564.090692	5741.510813
16800	3715.044078	4622.263280	5814.643646
16900	3770.246842	4686.320572	5870.466971
17000	3827.384671	4735.293888	5949.821988
17100	3885.366871	4788.258368	6015.279547
17200	3941.050690	4853.066683	6087.664294
17300	4000.799316	4924.893826	6160.659483
17400	4059.070371	4984.999152	6217.942884
17500	4118.777110	5041.643185	6286.293062
17600	4171.659317	5101.752933	6370.010660
17700	4233.051003	5162.309378	6447.484891
17800	4295.979401	5225.055582	6523.693340
17900	4360.277854	5293.539511	6585.719852
18000	4420.468224	5360.643762	6646.921539
18100	4484.911884	5418.536930	6701.845397
18200	4551.075282	5480.802712	6786.050429
18300	4618.638678	5543.551118	6861.653802
18400	4689.844460	5611.439900	6940.474050
18500	4750.548793	5671.826873	7023.922322
18600	4814.085285	5748.796784	7077.335756
18700	4879.336860	5826.511870	7135.047635
18800	4944.150095	5906.019496	7202.424153
18900	5010.840845	5975.021430	7270.364558
19000	5081.446978	6044.714936	7347.234421
19100	5148.686215	6107.372380	7439.765826
19200	5215.390412	6170.719277	7526.690747
19300	5284.796197	6241.833686	7598.653690
19400	5355.524905	6307.966095	7671.697944
19500	5423.770236	6375.117647	7746.431923
19600	5499.184870	6452.942951	7830.427337
19700	5575.451095	6531.749061	7913.517489
19800	5652.141952	6609.846068	7987.228901
19900	5721.592347	6689.096240	8062.512571
20000	5791.855247	6755.263343	8149.531970
20100	5865.524336	6822.682738	8253.054348
20200	5939.051007	6899.574949	8314.751899
20300	6012.725506	6972.987131	8402.030618
20400	6082.060364	7049.551434	8469.526885
20500	6158.411023	7137.404851	8542.069480
20600	6236.275644	7210.189113	8620.257652
20700	6314.761229	7293.114292	8699.875959
20800	6392.218389	7364.707565	8778.689659
20900	6468.968687	7440.020117	8860.059483
21000	6548.816365	7513.173004	8944.726456
21100	6628.666964	7595.329808	9011.541893
21200	6710.064389	7669.162232	9094.441004
21300	6787.628394	7749.160590	9174.956147
21400	6867.653011	7822.277127	9278.288434
21500	6942.720070	7906.398076	9351.185795
21600	7021.159703	7985.122088	9440.123274
21700	7101.023344	8066.755403	9523.000000
21800	7182.492932	8141.319158	9606.182771
21900	7261.700923	8217.240872	9693.022053
22000	7347.899444	8305.861844	9780.663361
22100	7433.429783	8394.697987	9864.060703
22200	7517.942923	8476.150980	9957.870701
22300	7600.522263	8563.381418	10050.341566
22400	7676.620845	8646.262696	10132.776248
22500	7755.658815	8729.736199	10226.226180
22600	7839.593877	8819.346080	10312.337191
22700	7922.393635	8898.939445	10403.630691
22800	8010.186461	8977.280486	10502.191196
22900	8102.331232	9056.864832	10588.917098
23000	8184.374145	9143.004705	10675.113181
