Timestep 	 Mobile atoms 	 Crystalline atoms 	 Alpha 	 Crystal size (if single crystal)
0 	 210376 	 64 	 0.0003041246911233606 	 3.9999999999999996
100 	 210342 	 98 	 0.0004656909332826459 	 4.610436292058446
200 	 210282 	 158 	 0.0007508078312107964 	 5.406120175750225
300 	 210125 	 315 	 0.0014968637141227904 	 6.804092115953367
400 	 209981 	 459 	 0.0021811442691503516 	 7.713844771974705
500 	 209820 	 620 	 0.0029462079452575556 	 8.527018983281597
600 	 209556 	 884 	 0.004200722296141418 	 9.597337224450664
700 	 209320 	 1120 	 0.00532218209465881 	 10.384988203702207
800 	 209043 	 1397 	 0.006638471773427105 	 11.178893071112261
900 	 208679 	 1761 	 0.008368180954191218 	 12.075907711384081
1000 	 208307 	 2133 	 0.010135905721345751 	 12.872521281078619
1100 	 207883 	 2557 	 0.012150731800038016 	 13.674461809847198
1200 	 207437 	 3003 	 0.014270100741303934 	 14.427301600031935
1300 	 206948 	 3492 	 0.01659380345941836 	 15.171368076498876
1400 	 206445 	 3995 	 0.018984033453716024 	 15.867393590812101
1500 	 205897 	 4543 	 0.0215881011214598 	 16.562055879867543
1600 	 205370 	 5070 	 0.02409237787492872 	 17.17918881916198
1700 	 204819 	 5621 	 0.026710701387568904 	 17.780249945557653
1800 	 204245 	 6195 	 0.029438319711081542 	 18.365965756559117
1900 	 203573 	 6867 	 0.03263162896787683 	 19.007384018231814
2000 	 202886 	 7554 	 0.03589621744915415 	 19.62120431818963
2100 	 202172 	 8268 	 0.03928910853449914 	 20.22088484672667
2200 	 201411 	 9029 	 0.042905341189887855 	 20.823155917868785
2300 	 200677 	 9763 	 0.04639327124120889 	 21.372783988773296
2400 	 199956 	 10484 	 0.0498194259646455 	 21.88646745679144
2500 	 199115 	 11325 	 0.053815814483938414 	 22.45670687489916
2600 	 198339 	 12101 	 0.057503326363809164 	 22.958336672876815
2700 	 197502 	 12938 	 0.06148070708990686 	 23.475907101861733
2800 	 196601 	 13839 	 0.06576221250712792 	 24.008677417778294
2900 	 195772 	 14668 	 0.0697015776468352 	 24.478809943999405
3000 	 194843 	 15597 	 0.07411613761642273 	 24.985057737597728
3100 	 193861 	 16579 	 0.0787825508458468 	 25.498782461411345
3200 	 192880 	 17560 	 0.08344421212697206 	 25.9921080584012
3300 	 191921 	 18519 	 0.08800133054552367 	 26.456913488745887
3400 	 190883 	 19557 	 0.09293385287968067 	 26.942263456001694
3500 	 189802 	 20638 	 0.09807070899068618 	 27.429793369007616
3600 	 188771 	 21669 	 0.10296996768675157 	 27.879156076269847
3700 	 187623 	 22817 	 0.10842520433377685 	 28.363044573053074
3800 	 186550 	 23890 	 0.11352404485839195 	 28.800855170080084
3900 	 185424 	 25016 	 0.11887473864284356 	 29.246413956356836
4000 	 184218 	 26222 	 0.12460558829119939 	 29.709039032081407
4100 	 183035 	 27405 	 0.13022714312868275 	 30.14925618817957
4200 	 181873 	 28567 	 0.13574890705189127 	 30.569491286344725
4300 	 180635 	 29805 	 0.1416318190458088 	 31.004855292235966
4400 	 179464 	 30976 	 0.14719635050370652 	 31.405697642158753
4500 	 178150 	 32290 	 0.15344041056833302 	 31.84363825499303
4600 	 176912 	 33528 	 0.1593233225622505 	 32.24550745664825
4700 	 175615 	 34825 	 0.1654865995057974 	 32.656054213854844
4800 	 174316 	 36124 	 0.17165938034594183 	 33.0571400611467
4900 	 172987 	 37453 	 0.17797471963505038 	 33.457657947440914
5000 	 171548 	 38892 	 0.1848127732370272 	 33.8807819998321
5100 	 170143 	 40297 	 0.1914892605968447 	 34.28395410937222
5200 	 168770 	 41670 	 0.19801368561110055 	 34.66898817457911
5300 	 167337 	 43103 	 0.20482322752328455 	 35.061931166850336
5400 	 165895 	 44545 	 0.21167553697015776 	 35.44864624021954
5500 	 164402 	 46038 	 0.2187701957802699 	 35.840342358283635
5600 	 162904 	 47536 	 0.22588861433187607 	 36.224929157036236
5700 	 161432 	 49008 	 0.23288348222771335 	 36.59504845075063
5800 	 159899 	 50541 	 0.2401682189697776 	 36.972709362031964
5900 	 158352 	 52088 	 0.2475194829880251 	 37.346154893180284
6000 	 156819 	 53621 	 0.2548042197300893 	 37.708996016829566
6100 	 155241 	 55199 	 0.2623027941455997 	 38.07533531296674
6200 	 153620 	 56820 	 0.27000570233795856 	 38.44445805690269
